Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","81286.63","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","82665.01","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","83815.72","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","85080.47","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2021","2021","1000 ha","86385.45","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2001","2001","1000 ha","1239750.31","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2006","2006","1000 ha","1252165.65","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2011","2011","1000 ha","1254381.27","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2016","2016","1000 ha","1275746.73","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2021","2021","1000 ha","1260124.79","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6972","Woody crops","2011","2011","1000 ha","","O","Missing value"
"LC","Land Cover","001","World","5007","Area from MODIS","6972","Woody crops","2016","2016","1000 ha","","O","Missing value"
"LC","Land Cover","001","World","5007","Area from MODIS","6972","Woody crops","2021","2021","1000 ha","","O","Missing value"
"LC","Land Cover","001","World","5007","Area from MODIS","6973","Multiple or layered crops","2011","2011","1000 ha","","O","Missing value"
"LC","Land Cover","001","World","5007","Area from MODIS","6973","Multiple or layered crops","2016","2016","1000 ha","","O","Missing value"
"LC","Land Cover","001","World","5007","Area from MODIS","6973","Multiple or layered crops","2021","2021","1000 ha","","O","Missing value"
"LC","Land Cover","001","World","5007","Area from MODIS","6983","Grassland","2001","2001","1000 ha","2879023.6","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6983","Grassland","2006","2006","1000 ha","3043624.27","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6983","Grassland","2011","2011","1000 ha","3057943.03","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6983","Grassland","2016","2016","1000 ha","3035441.1","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6983","Grassland","2021","2021","1000 ha","3062601.95","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6974","Tree-covered areas","2001","2001","1000 ha","5009675.78","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6974","Tree-covered areas","2006","2006","1000 ha","5014132.08","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6974","Tree-covered areas","2011","2011","1000 ha","5049564.13","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6974","Tree-covered areas","2016","2016","1000 ha","5048290.17","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6974","Tree-covered areas","2021","2021","1000 ha","5029306.87","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6975","Mangroves","2001","2001","1000 ha","45964.82","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6975","Mangroves","2006","2006","1000 ha","26516.24","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6975","Mangroves","2011","2011","1000 ha","27905.3","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6975","Mangroves","2016","2016","1000 ha","25190.25","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6975","Mangroves","2021","2021","1000 ha","25375.33","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6976","Shrub-covered areas","2001","2001","1000 ha","1380519.55","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6976","Shrub-covered areas","2006","2006","1000 ha","1391859.52","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6976","Shrub-covered areas","2011","2011","1000 ha","1368349.75","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6976","Shrub-covered areas","2016","2016","1000 ha","1377102.67","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6976","Shrub-covered areas","2021","2021","1000 ha","1383727.18","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","2001","2001","1000 ha","231618.5","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","2006","2006","1000 ha","123595.68","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","2011","2011","1000 ha","118515.46","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","2016","2016","1000 ha","121506.62","E","Estimated value"
