Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","036","Australia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","1060.7","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","1075.18","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","1089.24","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","1098.79","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2021","2021","1000 ha","1113.4","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6971","Herbaceous crops","2001","2001","1000 ha","29250","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6971","Herbaceous crops","2006","2006","1000 ha","26206.8","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6971","Herbaceous crops","2011","2011","1000 ha","26177.38","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6971","Herbaceous crops","2016","2016","1000 ha","34003.98","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6971","Herbaceous crops","2021","2021","1000 ha","32810.05","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6972","Woody crops","2001","2001","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6972","Woody crops","2006","2006","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6972","Woody crops","2011","2011","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6972","Woody crops","2016","2016","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6972","Woody crops","2021","2021","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6973","Multiple or layered crops","2001","2001","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6973","Multiple or layered crops","2006","2006","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6973","Multiple or layered crops","2011","2011","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6973","Multiple or layered crops","2016","2016","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6973","Multiple or layered crops","2021","2021","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6983","Grassland","2001","2001","1000 ha","202731.72","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6983","Grassland","2006","2006","1000 ha","188825.73","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6983","Grassland","2011","2011","1000 ha","210994.63","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6983","Grassland","2016","2016","1000 ha","173384.59","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6983","Grassland","2021","2021","1000 ha","181188.1","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6974","Tree-covered areas","2001","2001","1000 ha","89512.67","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6974","Tree-covered areas","2006","2006","1000 ha","83263.01","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6974","Tree-covered areas","2011","2011","1000 ha","91268.41","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6974","Tree-covered areas","2016","2016","1000 ha","97663.79","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6974","Tree-covered areas","2021","2021","1000 ha","83296.82","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6975","Mangroves","2001","2001","1000 ha","1278.83","E","Estimated value"
