Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2001","2001","3050","FAO TIER 1","ha","11711630.9402","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2002","2002","3050","FAO TIER 1","ha","12402359.4688","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2003","2003","3050","FAO TIER 1","ha","16858989.2113","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2004","2004","3050","FAO TIER 1","ha","16211792.2027","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2005","2005","3050","FAO TIER 1","ha","18278360.933","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2006","2006","3050","FAO TIER 1","ha","16181708.693","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2007","2007","3050","FAO TIER 1","ha","16206630.2318","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2008","2008","3050","FAO TIER 1","ha","17043871.8293","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2009","2009","3050","FAO TIER 1","ha","15354415.5741","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2010","2010","3050","FAO TIER 1","ha","18356591.4704","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2011","2011","3050","FAO TIER 1","ha","19005754.5833","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2012","2012","3050","FAO TIER 1","ha","18612566.1257","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2013","2013","3050","FAO TIER 1","ha","17044028.2237","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2014","2014","3050","FAO TIER 1","ha","15927340.5298","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2015","2015","3050","FAO TIER 1","ha","17182623.3087","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2016","2016","3050","FAO TIER 1","ha","17946879.3525","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2017","2017","3050","FAO TIER 1","ha","18278411.7287","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2018","2018","3050","FAO TIER 1","ha","15467257.2623","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2019","2019","3050","FAO TIER 1","ha","16784944.7276","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2020","2020","3050","FAO TIER 1","ha","15746056.1411","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6796","Humid tropical forest","2021","2021","3050","FAO TIER 1","ha","14460146.3685","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2001","2001","3050","FAO TIER 1","ha","3952819.5859","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2002","2002","3050","FAO TIER 1","ha","2714514.8233","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2003","2003","3050","FAO TIER 1","ha","3713784.6112","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2004","2004","3050","FAO TIER 1","ha","3611053.3177","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2005","2005","3050","FAO TIER 1","ha","4240434.0709","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2006","2006","3050","FAO TIER 1","ha","3652292.0562","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2007","2007","3050","FAO TIER 1","ha","3956077.1138","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2008","2008","3050","FAO TIER 1","ha","4156510.6601","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2009","2009","3050","FAO TIER 1","ha","3827962.5588","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2010","2010","3050","FAO TIER 1","ha","5218344.5011","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2011","2011","3050","FAO TIER 1","ha","4086204.4179","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2012","2012","3050","FAO TIER 1","ha","4796013.9473","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2013","2013","3050","FAO TIER 1","ha","4640502.9293","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2014","2014","3050","FAO TIER 1","ha","4437731.6822","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2015","2015","3050","FAO TIER 1","ha","4458118.7344","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2016","2016","3050","FAO TIER 1","ha","4703434.3884","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2017","2017","3050","FAO TIER 1","ha","4162619.7731","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2018","2018","3050","FAO TIER 1","ha","4482926.3506","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2019","2019","3050","FAO TIER 1","ha","3664474.94","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2020","2020","3050","FAO TIER 1","ha","3476289.8045","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6797","Other forest","2021","2021","3050","FAO TIER 1","ha","3671210.3547","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2001","2001","3050","FAO TIER 1","ha","1150518.4155","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2002","2002","3050","FAO TIER 1","ha","1044024.8467","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2003","2003","3050","FAO TIER 1","ha","1179863.9814","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2004","2004","3050","FAO TIER 1","ha","1413879.7998","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2005","2005","3050","FAO TIER 1","ha","1193276.5903","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2006","2006","3050","FAO TIER 1","ha","705308.0209","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2007","2007","3050","FAO TIER 1","ha","864223.6428","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2008","2008","3050","FAO TIER 1","ha","658816.6937","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2009","2009","3050","FAO TIER 1","ha","798762.7225","E","Estimated value",""
"GI","Emissions from Fires","002","Africa","7246","Burned Area","6791","Closed shrubland","2010","2010","3050","FAO TIER 1","ha","678255.2949","E","Estimated value",""
