Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","7393974","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","7571450","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","7945634","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","8543598","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","6046049","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","5947224","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","4572794","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","4402925","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","3413491","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","2478118","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","1694691","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","1628118","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","2442053","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2000","2000","1000 USD","17179161","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2001","2001","1000 USD","17144028","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2002","2002","1000 USD","20535747","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2003","2003","1000 USD","19224998","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","25349486","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","26053291","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","26720416","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","26916223","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","31251288","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","29933278","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","33445474","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","46056237","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","49506705","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","45473334","E","Estimated value"
