Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2001","2001","3050","FAO TIER 1","ha","14627374.7163","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2002","2002","3050","FAO TIER 1","ha","18331209.4796","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2003","2003","3050","FAO TIER 1","ha","24034950.125","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2004","2004","3050","FAO TIER 1","ha","26929829.9453","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2005","2005","3050","FAO TIER 1","ha","26712551.2698","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2006","2006","3050","FAO TIER 1","ha","22569832.9905","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2007","2007","3050","FAO TIER 1","ha","26986178.5909","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2008","2008","3050","FAO TIER 1","ha","21728596.4601","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2009","2009","3050","FAO TIER 1","ha","20686982.4228","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2010","2010","3050","FAO TIER 1","ha","30150104.7389","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2011","2011","3050","FAO TIER 1","ha","23603188.9299","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2012","2012","3050","FAO TIER 1","ha","24473999.1397","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2013","2013","3050","FAO TIER 1","ha","21220052.9031","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2014","2014","3050","FAO TIER 1","ha","21302399.8934","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2015","2015","3050","FAO TIER 1","ha","23932523.66","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2016","2016","3050","FAO TIER 1","ha","23270156.0947","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2017","2017","3050","FAO TIER 1","ha","23874735.7145","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2018","2018","3050","FAO TIER 1","ha","18913575.6616","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2019","2019","3050","FAO TIER 1","ha","24070033.0639","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2020","2020","3050","FAO TIER 1","ha","24397125.2655","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2021","2021","3050","FAO TIER 1","ha","20894438.2895","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6796","Humid tropical forest","2022","2022","3050","FAO TIER 1","ha","20520649.3067","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2001","2001","3050","FAO TIER 1","ha","6298392.6704","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2002","2002","3050","FAO TIER 1","ha","6553760.9252","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2003","2003","3050","FAO TIER 1","ha","9480662.5871","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2004","2004","3050","FAO TIER 1","ha","8915111.4473","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2005","2005","3050","FAO TIER 1","ha","7870367.3321","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2006","2006","3050","FAO TIER 1","ha","8253243.3471","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2007","2007","3050","FAO TIER 1","ha","9381548.9392","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2008","2008","3050","FAO TIER 1","ha","8713962.0866","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2009","2009","3050","FAO TIER 1","ha","8898401.4798","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2010","2010","3050","FAO TIER 1","ha","10304663.8867","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2011","2011","3050","FAO TIER 1","ha","8248864.3582","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2012","2012","3050","FAO TIER 1","ha","10974099.3188","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2013","2013","3050","FAO TIER 1","ha","8683453.7984","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2014","2014","3050","FAO TIER 1","ha","9293016.2867","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2015","2015","3050","FAO TIER 1","ha","8651993.2586","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2016","2016","3050","FAO TIER 1","ha","9037805.3415","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2017","2017","3050","FAO TIER 1","ha","8483105.8359","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2018","2018","3050","FAO TIER 1","ha","8912038.6608","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2019","2019","3050","FAO TIER 1","ha","11200587.8758","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2020","2020","3050","FAO TIER 1","ha","9040916.6938","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2021","2021","3050","FAO TIER 1","ha","8476354.9655","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6797","Other forest","2022","2022","3050","FAO TIER 1","ha","7317859.8006","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6791","Closed shrubland","2001","2001","3050","FAO TIER 1","ha","3998451.0655","E","Estimated value",""
"GI","Emissions from Fires","001","World","7246","Burned Area","6791","Closed shrubland","2002","2002","3050","FAO TIER 1","ha","2678949.8265","E","Estimated value",""
