Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","81286.63","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","81755.23","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","82006.86","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","82213.63","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","82419.16","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","82665.01","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2007","2007","1000 ha","82885.44","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2008","2008","1000 ha","83072.66","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2009","2009","1000 ha","83321.09","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2010","2010","1000 ha","83550.47","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","83815.72","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2012","2012","1000 ha","84059.99","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2013","2013","1000 ha","84287.04","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2014","2014","1000 ha","84567.63","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","84868.48","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","85080.47","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2017","2017","1000 ha","85312.24","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2018","2018","1000 ha","85559.11","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2019","2019","1000 ha","85865.55","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2020","2020","1000 ha","86149.12","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2021","2021","1000 ha","86385.45","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2001","2001","1000 ha","1239750.31","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2002","2002","1000 ha","1229181.23","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2003","2003","1000 ha","1272747.69","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2004","2004","1000 ha","1267774.88","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2005","2005","1000 ha","1260804.99","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6971","Herbaceous crops","2006","2006","1000 ha","1252165.65","E","Estimated value"
