Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2000","2000","°c","0.726","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2001","2001","°c","0.833","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.015","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.895","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.911","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.1","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.999","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.19","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2008","2008","°c","0.928","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2009","2009","°c","0.948","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2010","2010","°c","1.215","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.913","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.07","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.016","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.047","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.407","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.659","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.429","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2018","2018","°c","1.283","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.435","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.682","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.466","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.374","E","Estimated value"
